               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.033994,            0.013028,           0.0026997,             0.96316,             0.89929,             0.93373,              0.4826,             0.03083,            0.010226,           0.0016466,            0.003763,            0.003763,            0.003763
                  65,            0.033514,            0.013251,           0.0025447,             0.96105,             0.92181,             0.93004,             0.46142,            0.033673,           0.0099209,           0.0014263,            0.003664,            0.003664,            0.003664
                  66,            0.034007,            0.013128,           0.0021189,             0.95249,             0.92477,             0.93814,             0.48237,            0.031993,            0.010022,           0.0014391,            0.003565,            0.003565,            0.003565
                  67,            0.034025,            0.012631,           0.0025512,             0.96005,             0.92047,             0.94152,             0.49375,            0.031284,            0.009731,           0.0016377,            0.003466,            0.003466,            0.003466
                  68,             0.03418,            0.012836,           0.0025936,             0.95241,             0.92279,             0.94094,             0.49537,            0.030781,           0.0098931,           0.0015443,            0.003367,            0.003367,            0.003367
                  69,            0.034096,            0.012905,           0.0026113,             0.94995,             0.93008,             0.94272,             0.48304,            0.031091,           0.0099076,           0.0016182,            0.003268,            0.003268,            0.003268
                  70,            0.032136,            0.012903,           0.0023708,             0.95266,             0.93847,             0.94995,             0.48253,            0.030812,           0.0099179,            0.001279,            0.003169,            0.003169,            0.003169
                  71,            0.034105,            0.012814,           0.0032058,             0.95592,             0.92622,              0.9428,             0.49754,            0.031043,            0.009881,           0.0014459,             0.00307,             0.00307,             0.00307
                  72,            0.034117,            0.012824,           0.0024286,             0.96555,             0.91476,             0.95153,             0.49696,            0.031533,           0.0097885,           0.0017069,            0.002971,            0.002971,            0.002971
                  73,            0.032648,            0.012473,           0.0019282,             0.96144,             0.91854,             0.93298,             0.49712,            0.029449,           0.0098613,           0.0016038,            0.002872,            0.002872,            0.002872
                  74,            0.032012,            0.012845,           0.0022171,             0.94731,             0.92936,             0.94607,             0.48807,             0.03043,           0.0098238,           0.0012932,            0.002773,            0.002773,            0.002773
                  75,            0.032225,            0.012501,           0.0018238,             0.96717,             0.93449,             0.95548,             0.50818,            0.029859,           0.0097611,           0.0011149,            0.002674,            0.002674,            0.002674
                  76,            0.031999,             0.01297,           0.0022131,             0.96291,             0.93131,             0.94454,               0.502,            0.030478,           0.0098969,           0.0011665,            0.002575,            0.002575,            0.002575
                  77,            0.031976,             0.01239,           0.0024092,             0.96113,             0.92902,             0.94792,               0.509,             0.02976,           0.0098901,           0.0013835,            0.002476,            0.002476,            0.002476
                  78,            0.031611,            0.012656,            0.002333,             0.96676,             0.93212,             0.94699,             0.49651,            0.030132,           0.0098382,           0.0012932,            0.002377,            0.002377,            0.002377
                  79,            0.031328,             0.01225,           0.0019248,              0.9626,             0.94116,             0.94838,             0.49507,            0.030916,           0.0098585,           0.0011488,            0.002278,            0.002278,            0.002278
                  80,            0.029864,            0.012189,           0.0016828,             0.96131,             0.92118,              0.9434,             0.50448,            0.029229,           0.0097362,           0.0014685,            0.002179,            0.002179,            0.002179
                  81,            0.031124,            0.012334,           0.0017184,              0.9607,             0.92657,             0.94145,             0.49392,            0.029492,            0.010001,           0.0014489,             0.00208,             0.00208,             0.00208
                  82,            0.030329,             0.01225,           0.0017724,             0.96974,             0.92235,             0.94223,             0.49738,            0.029834,             0.01005,           0.0011301,            0.001981,            0.001981,            0.001981
                  83,            0.029389,            0.012274,           0.0019803,             0.96176,             0.92832,             0.94612,             0.50166,            0.029394,           0.0099078,           0.0011764,            0.001882,            0.001882,            0.001882
                  84,            0.030734,            0.012075,           0.0016722,             0.96523,             0.92857,             0.93581,             0.49557,            0.030542,           0.0098841,           0.0011705,            0.001783,            0.001783,            0.001783
                  85,            0.029727,            0.012308,           0.0018745,              0.9698,             0.92344,             0.94438,              0.4937,            0.029786,           0.0098477,           0.0015298,            0.001684,            0.001684,            0.001684
                  86,            0.030224,            0.012018,           0.0018825,             0.95867,             0.92047,             0.93592,             0.49274,            0.029966,           0.0098192,           0.0012561,            0.001585,            0.001585,            0.001585
                  87,            0.029649,            0.012382,           0.0017157,             0.96803,              0.9331,             0.94699,             0.50146,            0.029773,           0.0097618,           0.0010623,            0.001486,            0.001486,            0.001486
                  88,            0.029111,            0.012186,           0.0017856,             0.96737,             0.90902,             0.94009,             0.50406,            0.030429,           0.0098382,           0.0012244,            0.001387,            0.001387,            0.001387
                  89,            0.029577,            0.011953,           0.0019956,             0.95869,             0.92548,             0.94799,             0.50192,            0.030594,           0.0097616,           0.0011027,            0.001288,            0.001288,            0.001288
                  90,             0.02945,            0.011804,            0.001484,               0.965,             0.92372,             0.94469,             0.49985,            0.030237,           0.0097124,           0.0011449,            0.001189,            0.001189,            0.001189
                  91,            0.028751,            0.011934,           0.0013085,               0.955,             0.92936,             0.94006,              0.4891,            0.030652,           0.0098678,           0.0011602,             0.00109,             0.00109,             0.00109
                  92,            0.028704,            0.012109,           0.0013095,             0.95763,             0.93191,             0.94122,              0.4933,            0.029408,           0.0098414,           0.0011127,            0.000991,            0.000991,            0.000991
                  93,             0.02877,            0.012106,           0.0014365,             0.95553,             0.93305,             0.93971,             0.49404,            0.029667,           0.0099168,           0.0010708,            0.000892,            0.000892,            0.000892
                  94,             0.02877,            0.012131,           0.0015316,             0.95578,             0.92156,             0.94151,             0.49467,            0.029617,           0.0098502,           0.0012471,            0.000793,            0.000793,            0.000793
                  95,            0.028272,            0.012076,           0.0015215,             0.94799,             0.92083,             0.93698,             0.49413,            0.029757,           0.0098768,           0.0012397,            0.000694,            0.000694,            0.000694
                  96,            0.027654,             0.01212,           0.0013527,             0.95542,             0.91316,             0.93805,             0.49052,            0.029589,            0.009857,           0.0011775,            0.000595,            0.000595,            0.000595
                  97,            0.027371,            0.011933,           0.0011063,             0.94981,             0.92901,             0.94307,             0.49526,            0.029485,           0.0098688,           0.0010476,            0.000496,            0.000496,            0.000496
                  98,            0.027872,            0.011885,           0.0011661,              0.9526,             0.93639,             0.94764,             0.49626,            0.029674,           0.0098437,           0.0010188,            0.000397,            0.000397,            0.000397
                  99,            0.027551,            0.011984,           0.0011008,             0.95471,             0.92955,             0.94753,             0.50179,            0.029626,           0.0098346,           0.0009731,            0.000298,            0.000298,            0.000298
